#species	accession
Acinetobacter_baumannii	GCF_009035845.1
Acinetobacter_baumannii	GCF_014672755.1
Acinetobacter_baumannii	GCF_020911985.1
Acinetobacter_baumannii	GCF_022870045.1
Bacteroides_fragilis	GCF_000025985.1
Bacteroides_fragilis	GCF_005706655.1
Bacteroides_fragilis	GCF_020097275.1
Bacteroides_fragilis	GCF_040687795.1
Bifidobacterium_breve	GCF_001025175.1
Bifidobacterium_breve	GCF_002838485.1
Bifidobacterium_breve	GCF_029011725.1
Bifidobacterium_breve	GCF_900637145.1
Bifidobacterium_longum	GCF_000196555.1
Bifidobacterium_longum	GCF_017132775.1
Bifidobacterium_longum	GCF_900637215.1
Bifidobacterium_longum	GCF_900637335.1
Bordetella_pertussis	GCF_000306945.1
Bordetella_pertussis	GCF_001831455.1
Bordetella_pertussis	GCF_004008975.1
Bordetella_pertussis	GCF_020736265.1
Campylobacter_jejuni	GCF_000009085.1
Campylobacter_jejuni	GCF_001457695.1
Campylobacter_jejuni	GCF_003999645.1
Campylobacter_jejuni	GCF_045689445.1
Citrobacter_freundii	GCF_011064845.1
Citrobacter_freundii	GCF_036509015.1
Citrobacter_freundii	GCF_036509175.1
Citrobacter_freundii	GCF_904859905.1
Clostridioides_difficile	GCF_001077535.1
Clostridioides_difficile	GCF_018885085.1
Clostridioides_difficile	GCF_049244755.1
Clostridioides_difficile	GCF_057587615.1
Cutibacterium_acnes	GCF_003030305.1
Cutibacterium_acnes	GCF_004136195.1
Cutibacterium_acnes	GCF_006739385.1
Cutibacterium_acnes	GCF_008728435.1
Enterobacter_cloacae	GCF_013376815.1
Enterobacter_cloacae	GCF_019047105.1
Enterobacter_cloacae	GCF_047119245.1
Enterobacter_cloacae	GCF_905331265.2
Enterococcus_faecalis	GCF_021610105.1
Enterococcus_faecalis	GCF_022869705.1
Enterococcus_faecalis	GCF_029024925.1
Enterococcus_faecalis	GCF_050485625.1
Enterococcus_faecium	GCF_001720945.1
Enterococcus_faecium	GCF_009734005.1
Enterococcus_faecium	GCF_029023785.1
