run_accession	alias	subject	timepoint_label	fastq_bytes
SRR29712951	S11-1	1	11:00	653647754
SRR29712950	S11-11	11	11:00	182911383
SRR29712939	S11-12	12	11:00	194942475
SRR29712928	S11-14	14	11:00	498138780
SRR29712925	S11-2	2	11:00	202914222
SRR29712924	S11-6	6	11:00	460182951
SRR29712923	S11-7	7	11:00	177066959
SRR29712922	S11-9	9	11:00	581138757
SRR29712921	S13-1	1	13:00	523081742
SRR29712920	S13-11	11	13:00	292771147
SRR29712949	S13-12	12	13:00	229286360
SRR29712948	S13-14	14	13:00	800062776
SRR29712947	S13-2	2	13:00	142544780
SRR29712946	S13-6	6	13:00	419501084
SRR29712945	S13-7	7	13:00	139932793
SRR29712944	S13-9	9	13:00	500305697
SRR29712943	S17-1	1	17:00	866680941
SRR29712942	S17-11	11	17:00	209006607
SRR29712941	S17-12	12	17:00	228057665
SRR29712940	S17-14	14	17:00	754606972
SRR29712938	S17-2	2	17:00	181348865
SRR29712937	S17-6	6	17:00	622280335
SRR29712936	S17-7	7	17:00	212373237
SRR29712935	S17-9	9	17:00	731814428
SRR29712934	S9-1	1	09:00	394860366
SRR29712933	S9-11	11	09:00	171308418
SRR29712932	S9-12	12	09:00	192580801
SRR29712931	S9-14	14	09:00	505445600
SRR29712930	S9-2	2	09:00	196723822
SRR29712929	S9-6	6	09:00	641696292
SRR29712927	S9-7	7	09:00	205464970
SRR29712926	S9-9	9	09:00	684699325
