# ENA mirror of SRA BioProject PRJNA1131785 (npj Biofilms Microbiomes 2025, s41522-025-00851-2).
# 2bRAD-M / WMS / next-gen-16S / PacBio for MSA-1002 mock (+90/99% human) and HoC saliva/oral-cancer/ECC.
# Download via fastq_ftp (ENA, reachable when NCBI/SRA blocked). Total ~1.78 TB; grab subsets.
run_accession	sample_accession	library_strategy	library_source	instrument_platform	scientific_name	sample_title	read_count	fastq_bytes	fastq_ftp
SRR29712922	SAMN42321966	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	26647671	581138757	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/022/SRR29712922/SRR29712922.fastq.gz
SRR29712924	SAMN42321964	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	21964010	460182951	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/024/SRR29712924/SRR29712924.fastq.gz
SRR29712925	SAMN42321963	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	9899158	202914222	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/025/SRR29712925/SRR29712925.fastq.gz
SRR29712927	SAMN42321989	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	9760642	205464970	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/027/SRR29712927/SRR29712927.fastq.gz
SRR29712928	SAMN42321962	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	24515649	498138780	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/028/SRR29712928/SRR29712928.fastq.gz
SRR29712936	SAMN42321981	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	9710938	212373237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/036/SRR29712936/SRR29712936.fastq.gz
SRR29712938	SAMN42321979	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	8769229	181348865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/038/SRR29712938/SRR29712938.fastq.gz
SRR29712940	SAMN42321978	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	37099390	754606972	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/040/SRR29712940/SRR29712940.fastq.gz
SRR29712944	SAMN42321974	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	23310021	500305697	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/044/SRR29712944/SRR29712944.fastq.gz
SRR29712945	SAMN42321973	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	6649598	139932793	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/045/SRR29712945/SRR29712945.fastq.gz
SRR29712947	SAMN42321971	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7014621	142544780	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/047/SRR29712947/SRR29712947.fastq.gz
SRR29712948	SAMN42321970	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	39111557	800062776	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/048/SRR29712948/SRR29712948.fastq.gz
SRR29712950	SAMN42321960	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	8780995	182911383	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/050/SRR29712950/SRR29712950.fastq.gz
SRR29712951	SAMN42321959	OTHER	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	30737863	653647754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/051/SRR29712951/SRR29712951.fastq.gz
SRR29721749	SAMN42334584	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7460	4122941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/049/SRR29721749/SRR29721749_subreads.fastq.gz
SRR29721752	SAMN42334587	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7507	4568735	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/052/SRR29721752/SRR29721752_subreads.fastq.gz
SRR29721757	SAMN42334558	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	5030	2738268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/057/SRR29721757/SRR29721757_subreads.fastq.gz
SRR29721762	SAMN42334562	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7450	4165667	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/062/SRR29721762/SRR29721762_subreads.fastq.gz
SRR29721771	SAMN42334571	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7463	4549396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/071/SRR29721771/SRR29721771_subreads.fastq.gz
SRR29721772	SAMN42334589	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7466	4292712	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/072/SRR29721772/SRR29721772_subreads.fastq.gz
SRR29721773	SAMN42334572	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7506	4570199	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/073/SRR29721773/SRR29721773_subreads.fastq.gz
SRR29721775	SAMN42334574	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7486	4604173	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/075/SRR29721775/SRR29721775_subreads.fastq.gz
SRR29721778	SAMN42334577	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	7139	4386344	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29721778/SRR29721778_subreads.fastq.gz
