species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d0.5	diff	2	1	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.060	19.0
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d10	diff	2	1	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.600	89.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d1	diff	2	1	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.090	23.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d3	diff	2	1	3	2	1	1	0	1	1.0000	0.5000	0.6667	0.210	37.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d5	diff	2	1	5	2	2	2	0	0	1.0000	1.0000	1.0000	0.320	53.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep2_d0.5	diff	2	2	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.060	19.2
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep2_d10	diff	2	2	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.640	91.7
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep2_d1	diff	2	2	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.090	22.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep2_d3	diff	2	2	3	2	2	2	0	0	1.0000	1.0000	1.0000	0.210	39.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep2_d5	diff	2	2	5	2	2	2	0	0	1.0000	1.0000	1.0000	0.330	54.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep3_d0.5	diff	2	3	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.060	19.2
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep3_d10	diff	2	3	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.670	92.7
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep3_d1	diff	2	3	1	2	2	2	0	0	1.0000	1.0000	1.0000	0.090	22.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep3_d3	diff	2	3	3	2	2	2	0	0	1.0000	1.0000	1.0000	0.220	38.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep3_d5	diff	2	3	5	2	2	2	0	0	1.0000	1.0000	1.0000	0.330	56.2
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep4_d0.5	diff	2	4	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.060	19.1
