species	wall_s	rss_mb
Escherichia_coli	2578.94	28165
Akkermansia_muciniphila	1047.41	15722
Clostridioides_difficile	1795.44	14177
Cutibacterium_acnes	652.54	8104
Fusobacterium_nucleatum	285.89	8054
Lactiplantibacillus_plantarum	1456.51	17773
Mycobacterium_tuberculosis	971.57	15003
Phocaeicola_dorei	289.72	12976
Porphyromonas_gingivalis	1137.22	10551
Prevotella_copri	455.85	25593
Salmonella_enterica	2013.03	15898
Staphylococcus_aureus	1031.89	12323
Staphylococcus_epidermidis	910.21	8421
Streptococcus_pneumoniae	664.67	11210
