depth	sample	n_species_db	n_truth	n_pred	TP	FP	FN	precision	recall	f1	total_wall_s	max_rss_mb
depth_low	sample01	14	16	11	9	2	7	0.8182	0.5625	0.6667	94.3	1208.7
depth_low	sample02	14	17	14	14	0	3	1.0000	0.8235	0.9032	102.7	1014.6
depth_low	sample03	14	16	14	13	1	3	0.9286	0.8125	0.8667	98.1	851.0
depth_low	sample04	14	18	15	13	2	5	0.8667	0.7222	0.7879	120.2	1213.2
depth_med	sample01	14	17	15	14	1	3	0.9333	0.8235	0.8750	173.8	1916.5
depth_med	sample02	14	16	18	16	2	0	0.8889	1.0000	0.9412	245.1	2150.8
depth_med	sample03	14	21	23	17	6	4	0.7391	0.8095	0.7727	278.8	1445.1
depth_med	sample04	14	18	17	16	1	2	0.9412	0.8889	0.9143	211.3	1474.5
depth_high	sample01	14	19	21	17	4	2	0.8095	0.8947	0.8500	469.5	2153.1
depth_high	sample02	14	18	20	17	3	1	0.8500	0.9444	0.8947	390.5	1902.7
depth_high	sample03	14	18	22	18	4	0	0.8182	1.0000	0.9000	350.4	1888.1
depth_high	sample04	14	17	21	17	4	0	0.8095	1.0000	0.8947	405.4	2874.0
