sample	species	strain	cluster	relative_abundance	coverage	mean_depth	n_strains	strategy
Akkermansia_muciniphila__diff_k2_rep1_d0.5	Akkermansia_muciniphila	GCA_033947425	C19	0.9091	0.9091	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d0.5	Akkermansia_muciniphila	GCA_028743255	C18	0.0909	0.0909	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d1	Akkermansia_muciniphila	GCA_033947425	C19	0.9091	1.8182	1	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d1	Akkermansia_muciniphila	GCA_028743255	C18	0.0909	0.1818	1	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d10	Akkermansia_muciniphila	GCA_033947425	C19	0.9091	18.1818	10	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d10	Akkermansia_muciniphila	GCA_028743255	C18	0.0909	1.8182	10	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d3	Akkermansia_muciniphila	GCA_033947425	C19	0.9091	5.4545	3	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d3	Akkermansia_muciniphila	GCA_028743255	C18	0.0909	0.5455	3	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d5	Akkermansia_muciniphila	GCA_033947425	C19	0.9091	9.0909	5	2	diff
Akkermansia_muciniphila__diff_k2_rep1_d5	Akkermansia_muciniphila	GCA_028743255	C18	0.0909	0.9091	5	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d0.5	Akkermansia_muciniphila	GCA_018847215	C14	0.9091	0.9091	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d0.5	Akkermansia_muciniphila	GCA_018847535	C16	0.0909	0.0909	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d1	Akkermansia_muciniphila	GCA_018847215	C14	0.9091	1.8182	1	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d1	Akkermansia_muciniphila	GCA_018847535	C16	0.0909	0.1818	1	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d10	Akkermansia_muciniphila	GCA_018847215	C14	0.9091	18.1818	10	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d10	Akkermansia_muciniphila	GCA_018847535	C16	0.0909	1.8182	10	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d3	Akkermansia_muciniphila	GCA_018847215	C14	0.9091	5.4545	3	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d3	Akkermansia_muciniphila	GCA_018847535	C16	0.0909	0.5455	3	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d5	Akkermansia_muciniphila	GCA_018847215	C14	0.9091	9.0909	5	2	diff
Akkermansia_muciniphila__diff_k2_rep2_d5	Akkermansia_muciniphila	GCA_018847535	C16	0.0909	0.9091	5	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d0.5	Akkermansia_muciniphila	GCA_018847315	C15	0.9091	0.9091	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d0.5	Akkermansia_muciniphila	GCA_010230155	C9	0.0909	0.0909	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d1	Akkermansia_muciniphila	GCA_018847315	C15	0.9091	1.8182	1	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d1	Akkermansia_muciniphila	GCA_010230155	C9	0.0909	0.1818	1	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d10	Akkermansia_muciniphila	GCA_018847315	C15	0.9091	18.1818	10	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d10	Akkermansia_muciniphila	GCA_010230155	C9	0.0909	1.8182	10	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d3	Akkermansia_muciniphila	GCA_018847315	C15	0.9091	5.4545	3	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d3	Akkermansia_muciniphila	GCA_010230155	C9	0.0909	0.5455	3	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d5	Akkermansia_muciniphila	GCA_018847315	C15	0.9091	9.0909	5	2	diff
Akkermansia_muciniphila__diff_k2_rep3_d5	Akkermansia_muciniphila	GCA_010230155	C9	0.0909	0.9091	5	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d0.5	Akkermansia_muciniphila	GCA_004104435	C3	0.9091	0.9091	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d0.5	Akkermansia_muciniphila	GCA_004015265	C2	0.0909	0.0909	0.5	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d1	Akkermansia_muciniphila	GCA_004104435	C3	0.9091	1.8182	1	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d1	Akkermansia_muciniphila	GCA_004015265	C2	0.0909	0.1818	1	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d10	Akkermansia_muciniphila	GCA_004104435	C3	0.9091	18.1818	10	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d10	Akkermansia_muciniphila	GCA_004015265	C2	0.0909	1.8182	10	2	diff
Akkermansia_muciniphila__diff_k2_rep4_d3	Akkermansia_muciniphila	GCA_004104435	C3	0.9091	5.4545	3	2	diff
