species	n_enzymes	strain_specific	cluster_specific	n_clusters	precision	recall	bray_curtis
Akkermansia_muciniphila	1	1306	561	24	1.000	0.667	0.062
Akkermansia_muciniphila	2	1606	678	24	1.000	0.889	0.060
Akkermansia_muciniphila	4	3560	1200	24	1.000	1.000	0.041
Akkermansia_muciniphila	8	13314	4038	24	1.000	1.000	0.039
Akkermansia_muciniphila	14	30102	8858	24	1.000	1.000	0.039
Clostridioides_difficile	1	173	62	32	1.000	0.222	0.792
Clostridioides_difficile	2	289	139	30	1.000	0.222	0.792
Clostridioides_difficile	4	650	281	29	1.000	0.444	0.563
Clostridioides_difficile	8	2794	1546	24	1.000	0.875	0.051
Clostridioides_difficile	14	6093	2367	27	1.000	1.000	0.040
Cutibacterium_acnes	1	422	1266	8	1.000	0.667	0.263
Cutibacterium_acnes	2	478	1431	8	1.000	0.667	0.263
Cutibacterium_acnes	4	707	2087	8	1.000	0.889	0.234
Cutibacterium_acnes	8	1878	5544	8	1.000	1.000	0.039
Cutibacterium_acnes	14	3438	10421	8	1.000	1.000	0.039
Escherichia_coli	1	4551	78	24	1.000	0.778	0.255
Escherichia_coli	2	5588	104	23	1.000	1.000	0.121
Escherichia_coli	4	10306	192	24	1.000	1.000	0.048
Escherichia_coli	8	29082	303	28	1.000	0.889	0.047
Escherichia_coli	14	49166	548	30	1.000	1.000	0.040
Fusobacterium_nucleatum	1	87	3	19	1.000	0.111	0.896
Fusobacterium_nucleatum	2	255	14	19	1.000	0.222	0.688
Fusobacterium_nucleatum	4	648	42	19	1.000	0.556	0.284
Fusobacterium_nucleatum	8	4846	266	19	1.000	1.000	0.039
Fusobacterium_nucleatum	14	10144	553	19	1.000	1.000	0.038
Klebsiella_pneumoniae	1	1774	637	25	1.000	0.444	0.271
Klebsiella_pneumoniae	2	2069	728	26	1.000	0.444	0.271
Klebsiella_pneumoniae	4	3823	1356	27	1.000	0.667	0.158
Klebsiella_pneumoniae	8	10073	3445	28	1.000	0.889	0.046
Klebsiella_pneumoniae	14	18546	6064	28	1.000	1.000	0.038
Lactiplantibacillus_plantarum	1	1136	188	38	1.000	0.556	0.298
Lactiplantibacillus_plantarum	2	1618	266	38	1.000	0.667	0.085
Lactiplantibacillus_plantarum	4	2862	464	39	1.000	0.778	0.054
Lactiplantibacillus_plantarum	8	9571	1551	39	1.000	1.000	0.038
Lactiplantibacillus_plantarum	14	17663	2834	39	1.000	1.000	0.038
Phocaeicola_dorei	1	816	841	10	1.000	0.889	0.055
Phocaeicola_dorei	2	1086	1013	10	1.000	0.889	0.046
Phocaeicola_dorei	4	2104	1885	10	1.000	0.889	0.055
Phocaeicola_dorei	8	6831	5378	10	1.000	0.889	0.046
Phocaeicola_dorei	14	13531	10755	10	1.000	0.889	0.050
Porphyromonas_gingivalis	1	1446	548	26	1.000	0.444	0.563
Porphyromonas_gingivalis	2	1651	638	26	1.000	0.444	0.563
Porphyromonas_gingivalis	4	2713	1045	26	1.000	0.667	0.521
Porphyromonas_gingivalis	8	6201	2210	27	1.000	0.889	0.129
Porphyromonas_gingivalis	14	11763	4282	27	1.000	0.889	0.129
Prevotella_copri	1	10259	421	18	1.000	0.875	0.047
Prevotella_copri	2	12642	518	18	1.000	0.875	0.047
Prevotella_copri	4	23057	955	18	1.000	1.000	0.034
Prevotella_copri	8	62218	2684	18	1.000	1.000	0.034
Prevotella_copri	14	113570	0	19	1.000	0.778	0.221
Salmonella_enterica	1	2946	439	16	1.000	1.000	0.038
Salmonella_enterica	2	3572	550	16	1.000	1.000	0.038
Salmonella_enterica	4	6586	969	16	1.000	1.000	0.038
Salmonella_enterica	8	18902	2251	18	1.000	1.000	0.038
Salmonella_enterica	14	33589	3621	19	1.000	1.000	0.038
Staphylococcus_aureus	1	185	26	12	1.000	0.111	0.979
Staphylococcus_aureus	2	266	37	12	1.000	0.111	0.979
Staphylococcus_aureus	4	570	67	13	1.000	0.667	0.268
Staphylococcus_aureus	8	2006	261	13	1.000	0.667	0.250
Staphylococcus_aureus	14	3631	518	13	1.000	0.778	0.242
Staphylococcus_epidermidis	1	77	31	9	1.000	0.111	0.896
Staphylococcus_epidermidis	2	122	54	9	1.000	0.222	0.688
Staphylococcus_epidermidis	4	244	115	9	1.000	0.667	0.066
Staphylococcus_epidermidis	8	874	463	9	1.000	0.889	0.048
Staphylococcus_epidermidis	14	1708	832	9	1.000	0.889	0.060
Streptococcus_pneumoniae	1	318	39	37	1.000	0.222	0.688
Streptococcus_pneumoniae	2	450	76	37	1.000	0.556	0.275
Streptococcus_pneumoniae	4	861	136	38	1.000	0.667	0.091
Streptococcus_pneumoniae	8	3500	593	38	1.000	0.889	0.041
Streptococcus_pneumoniae	14	7434	1254	38	1.000	1.000	0.040
