genome	species
GCA_000005845	Escherichia coli
GCA_000006945	Salmonella enterica
GCA_000007545	Salmonella enterica
GCA_000007585	Porphyromonas gingivalis
GCA_000008865	Escherichia coli
GCA_000010385	Escherichia coli
GCA_000010505	Porphyromonas gingivalis
GCA_000013265	Escherichia coli
GCA_000013425	Staphylococcus aureus
GCA_000019645	Escherichia coli
GCA_000020225	Akkermansia muciniphila
GCA_000195955	Mycobacterium tuberculosis
GCA_000210475	Escherichia coli
GCA_000231215	Propionibacterium acnes
GCA_000240185	Klebsiella pneumoniae
GCA_000270225	Porphyromonas gingivalis
GCA_000277735	Mycobacterium tuberculosis
GCA_000738045	Bacteroides dorei
GCA_000738065	Bacteroides dorei
GCA_000743055	Salmonella enterica
GCA_000953275	Peptoclostridium difficile
GCA_001027105	Staphylococcus aureus
GCA_001077535	Clostridioides difficile
GCA_001263815	Porphyromonas gingivalis
GCA_001274615	Porphyromonas gingivalis
GCA_001274835	Bacteroides dorei
GCA_001314265	Porphyromonas gingivalis
GCA_001457635	Streptococcus pneumoniae
GCA_001469595	Cutibacterium acnes
GCA_001469615	Cutibacterium acnes
GCA_001515685	Staphylococcus aureus
GCA_001515745	Staphylococcus aureus
GCA_001558355	Salmonella enterica
GCA_001640865	Bacteroides dorei
GCA_001641025	Staphylococcus aureus
GCA_001641045	Staphylococcus aureus
GCA_001672035	Lactobacillus plantarum
GCA_001704315	Lactobacillus plantarum
GCA_001704335	Lactobacillus plantarum
GCA_001708265	Mycobacterium tuberculosis
GCA_001721125	Escherichia coli
GCA_001896045	Streptococcus pneumoniae
GCA_002005385	Lactobacillus plantarum
GCA_002072775	Mycobacterium tuberculosis
GCA_002080065	Clostridioides difficile
GCA_002097595	Staphylococcus aureus
GCA_002116775	Mycobacterium tuberculosis
GCA_002116835	Mycobacterium tuberculosis
GCA_002156725	Klebsiella pneumoniae
GCA_002156745	Klebsiella pneumoniae
GCA_002202195	Klebsiella pneumoniae
GCA_002220175	Lactobacillus plantarum
GCA_002290185	Lactobacillus plantarum
GCA_002576835	Lactobacillus plantarum
GCA_002753935	Porphyromonas gingivalis
GCA_002753955	Porphyromonas gingivalis
GCA_002753975	Porphyromonas gingivalis
GCA_002754015	Porphyromonas gingivalis
GCA_002754035	Porphyromonas gingivalis
GCA_002754055	Porphyromonas gingivalis
GCA_002754075	Porphyromonas gingivalis
GCA_002754095	Porphyromonas gingivalis
GCA_002754115	Porphyromonas gingivalis
GCA_002754135	Porphyromonas gingivalis
GCA_002754155	Porphyromonas gingivalis
GCA_002843545	Streptococcus pneumoniae
GCA_002850315	Staphylococcus epidermidis
GCA_002853715	Escherichia coli
GCA_002868775	Lactobacillus plantarum
GCA_002892555	Porphyromonas gingivalis
GCA_002892575	Porphyromonas gingivalis
GCA_002892595	Porphyromonas gingivalis
GCA_002895385	Staphylococcus aureus
GCA_002903005	Klebsiella pneumoniae
GCA_002947575	Streptococcus pneumoniae
GCA_003018035	Escherichia coli
GCA_003018455	Escherichia coli
GCA_003019295	Fusobacterium nucleatum
GCA_003030305	Cutibacterium acnes
GCA_003095675	Clostridioides difficile
GCA_003095695	Clostridioides difficile
GCA_003264815	Staphylococcus aureus
GCA_003313545	Clostridioides difficile
GCA_003313565	Clostridioides difficile
GCA_003313585	Clostridioides difficile
GCA_003325135	Salmonella enterica
GCA_003345375	Lactobacillus plantarum
GCA_003351705	Streptococcus pneumoniae
GCA_003390995	Cutibacterium acnes
GCA_003481905	Clostridioides difficile
GCA_003482345	Clostridioides difficile
GCA_003697165	Escherichia coli
GCA_003798465	Cutibacterium acnes
GCA_003812785	Cutibacterium acnes
GCA_003945425	Staphylococcus aureus
GCA_003966525	Streptococcus pneumoniae
GCA_004015245	Akkermansia muciniphila
GCA_004015265	Akkermansia muciniphila
GCA_004103495	Lactobacillus plantarum
GCA_004103515	Lactobacillus plantarum
GCA_004104435	Akkermansia muciniphila
GCA_004136195	Cutibacterium acnes
GCA_004136255	Staphylococcus aureus
GCA_004319565	Akkermansia muciniphila
GCA_004730965	Lactobacillus plantarum
GCA_006094375	Staphylococcus epidermidis
GCA_006094915	Staphylococcus aureus
GCA_006364675	Staphylococcus aureus
GCA_006365335	Salmonella enterica
GCA_006739385	Cutibacterium acnes
GCA_006742205	Staphylococcus epidermidis
GCA_006969245	Salmonella enterica
GCA_008000975	Akkermansia muciniphila
GCA_008728435	Cutibacterium acnes
GCA_009177305	Cutibacterium acnes
GCA_009685135	Staphylococcus epidermidis
GCA_009729915	Salmonella enterica
GCA_009730215	Mycobacterium tuberculosis
GCA_009731575	Akkermansia muciniphila
GCA_009762745	Lactobacillus plantarum
GCA_009913655	Lactobacillus plantarum
GCA_009930675	Salmonella enterica
GCA_010223095	Akkermansia muciniphila
GCA_010223115	Akkermansia muciniphila
GCA_010223135	Akkermansia muciniphila
GCA_010223405	Akkermansia muciniphila
GCA_010223575	Akkermansia muciniphila
GCA_010229315	Akkermansia muciniphila
GCA_010230155	Akkermansia muciniphila
GCA_010230515	Akkermansia muciniphila
GCA_010230725	Akkermansia muciniphila
GCA_010230935	Akkermansia muciniphila
GCA_010231195	Akkermansia muciniphila
GCA_010509235	Akkermansia muciniphila
GCA_010586945	Lactobacillus plantarum
GCA_011045595	Klebsiella pneumoniae
GCA_011066505	Klebsiella pneumoniae
GCA_011399315	Cutibacterium acnes
GCA_011399455	Cutibacterium acnes
GCA_013009555	Bacteroides dorei
GCA_013009675	Bacteroides dorei
GCA_013009875	Bacteroides dorei
GCA_013010095	Bacteroides dorei
GCA_013010255	Bacteroides dorei
GCA_013010365	Bacteroides dorei
GCA_013047165	Streptococcus pneumoniae
GCA_013155145	Lactobacillus plantarum
GCA_013487805	Lactobacillus plantarum
GCA_014058445	Escherichia coli
GCA_014131735	Lactobacillus plantarum
GCA_014170075	Akkermansia muciniphila
GCA_014334155	Salmonella enterica
GCA_014334215	Salmonella enterica
GCA_014899965	Mycobacterium tuberculosis
GCA_014899985	Mycobacterium tuberculosis
GCA_014900005	Mycobacterium tuberculosis
GCA_014900135	Mycobacterium tuberculosis
