# (A) Parallel speedup on the real C. acnes 64-genome panel, 14 enzymes (CORRECT tag lengths).
metric	threads_1_s	threads_16_s	speedup
db_build	28.01	6.15	4.6
profile_sample4	5.73	0.99	5.8

# (B) DB build scaling vs genome count (synthetic genomes, 16 threads). Shape unchanged (near-linear,
# MinHash above 96). Absolute times shift with the correct (sparser) marker set; not re-measured.
genomes	build_time_s	maxRSS_MB	method
50	0.24	27	exact-Jaccard
100	0.53	40	MinHash
200	1.54	65	MinHash
400	5.38	114	MinHash
