sample,kind,db,enzyme,reads1,reads2,outdir
WMS_MSA1002_0_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_0_100ng_1_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_0_100ng_1_R2_fq.gz,wms164
WMS_MSA1002_0_100ng_2,WMS,MSA_combined164_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_0_100ng_2_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_0_100ng_2_R2_fq.gz,wms164
WMS_MSA1002_90_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_90_100ng_1_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_90_100ng_1_R2_fq.gz,wms164
WMS_MSA1002_95_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_95_100ng_1_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_95_100ng_1_R2_fq.gz,wms164
WMS_MSA1002_99_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_99_100ng_1_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_99_100ng_1_R2_fq.gz,wms164
WMS_MSA1003_0_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1003/shotgun/WMS_MSA1003_0_100ng_1_R1_fq.gz,MSA1003/shotgun/WMS_MSA1003_0_100ng_1_R2_fq.gz,wms164
WMS_MSA1003_0_100ng_2,WMS,MSA_combined164_all.tsv,all,MSA1003/shotgun/WMS_MSA1003_0_100ng_2_R1_fq.gz,MSA1003/shotgun/WMS_MSA1003_0_100ng_2_R2_fq.gz,wms164
WMS_MSA1003_0_100ng_3,WMS,MSA_combined164_all.tsv,all,MSA1003/shotgun/WMS_MSA1003_0_100ng_3_R1_fq.gz,MSA1003/shotgun/WMS_MSA1003_0_100ng_3_R2_fq.gz,wms164
WMS_MSA1005_0_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1005/shotgun/WMS_MSA1005_0_100ng_1_R1_fq.gz,MSA1005/shotgun/WMS_MSA1005_0_100ng_1_R2_fq.gz,wms164
WMS_MSA1005_0_100ng_2,WMS,MSA_combined164_all.tsv,all,MSA1005/shotgun/WMS_MSA1005_0_100ng_2_R1_fq.gz,MSA1005/shotgun/WMS_MSA1005_0_100ng_2_R2_fq.gz,wms164
WMS_MSA1005_0_100ng_3,WMS,MSA_combined164_all.tsv,all,MSA1005/shotgun/WMS_MSA1005_0_100ng_3_R1_fq.gz,MSA1005/shotgun/WMS_MSA1005_0_100ng_3_R2_fq.gz,wms164
WMS_MSA1007_0_100ng_1,WMS,MSA_combined164_all.tsv,all,MSA1007/shotgun/WMS_MSA1007_0_100ng_1_R1_fq.gz,MSA1007/shotgun/WMS_MSA1007_0_100ng_1_R2_fq.gz,wms164
WMS_MSA1007_0_100ng_2,WMS,MSA_combined164_all.tsv,all,MSA1007/shotgun/WMS_MSA1007_0_100ng_2_R1_fq.gz,MSA1007/shotgun/WMS_MSA1007_0_100ng_2_R2_fq.gz,wms164
WMS_MSA1007_0_100ng_3,WMS,MSA_combined164_all.tsv,all,MSA1007/shotgun/WMS_MSA1007_0_100ng_3_R1_fq.gz,MSA1007/shotgun/WMS_MSA1007_0_100ng_3_R2_fq.gz,wms164
WMS_MSA1002_0_100ng_1,WMS,MSA1002_combined_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_0_100ng_1_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_0_100ng_1_R2_fq.gz,shot120
WMS_MSA1002_0_100ng_2,WMS,MSA1002_combined_all.tsv,all,MSA1002/shotgun/WMS_MSA1002_0_100ng_2_R1_fq.gz,MSA1002/shotgun/WMS_MSA1002_0_100ng_2_R2_fq.gz,shot120
WMS_MSA1003_0_100ng_1,WMS,MSA1002_combined_all.tsv,all,MSA1003/shotgun/WMS_MSA1003_0_100ng_1_R1_fq.gz,MSA1003/shotgun/WMS_MSA1003_0_100ng_1_R2_fq.gz,shot120
WMS_MSA1003_0_100ng_2,WMS,MSA1002_combined_all.tsv,all,MSA1003/shotgun/WMS_MSA1003_0_100ng_2_R1_fq.gz,MSA1003/shotgun/WMS_MSA1003_0_100ng_2_R2_fq.gz,shot120
WMS_MSA1003_0_100ng_3,WMS,MSA1002_combined_all.tsv,all,MSA1003/shotgun/WMS_MSA1003_0_100ng_3_R1_fq.gz,MSA1003/shotgun/WMS_MSA1003_0_100ng_3_R2_fq.gz,shot120
