acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_003019295	GCA_031191795	0.00100	0.01600	0.02850
GCA_003019295	GCA_037889055	0.23439	0.11778	0.02850
GCA_003019295	GCA_037889125	0.19556	0.24512	0.01415
GCA_003019295	GCA_037889175	0.21073	0.36772	0.03402
GCA_003019295	GCA_037889235	0.22858	0.14425	0.01483
GCA_003019295	GCA_037889255	0.96839	2.21102	0.15761
GCA_003019295	GCA_037889285	0.22646	0.36772	0.03402
GCA_003019295	GCA_037889315	0.88810	2.07944	0.15137
GCA_003019295	GCA_037889325	0.21541	0.36291	0.04866
GCA_003019295	GCA_037889375	0.22374	0.32542	0.01415
GCA_003019295	GCA_037889385	0.91098	2.12525	0.12601
GCA_003019295	GCA_037890135	0.92704	1.87180	0.11020
GCA_003019295	GCA_037900345	0.00050	0.01600	0.02850
GCA_003019295	GCA_037951365	0.20265	0.17589	0.04866
GCA_003019295	GCA_037952305	0.18556	0.32542	0.03402
GCA_003019295	GCA_037953125	0.19248	0.23841	0.01415
GCA_003019295	GCA_037955445	0.17074	0.16990	0.01415
GCA_003019295	GCA_048313075	0.22135	0.27193	0.02850
GCA_003019295	GCA_050233295	0.19556	0.24512	0.00000
GCA_003019295	GCA_050920715	0.00117	0.01600	0.01415
GCA_003019295	GCA_056333145	0.00033	0.01600	0.12281
GCA_003019295	GCA_964642115	0.00436	0.03279	0.01415
GCA_028621975	GCA_037889055	1.50408	3.48124	0.21864
GCA_028621975	GCA_037889235	1.49700	3.54096	0.19396
GCA_028621975	GCA_037889255	1.42088	2.52573	0.22197
GCA_028621975	GCA_037889315	1.36529	2.39790	0.23458
GCA_028621975	GCA_037889325	1.47842	3.56953	0.24308
GCA_028621975	GCA_037889385	1.39775	2.44235	0.25251
GCA_028621975	GCA_037890135	1.40818	2.41293	0.19967
GCA_028621975	GCA_037953125	1.44033	3.52636	0.19315
GCA_028621975	GCA_902381645	0.41898	0.85745	0.07793
GCA_031191795	GCA_037889055	0.23377	0.13353	0.05783
GCA_031191795	GCA_037889125	0.19444	0.25951	0.01415
GCA_031191795	GCA_037889175	0.21043	0.38046	0.06351
GCA_031191795	GCA_037889235	0.22797	0.15906	0.02850
GCA_031191795	GCA_037889255	0.96839	2.22462	0.16469
GCA_031191795	GCA_037889285	0.22555	0.38046	0.06351
GCA_031191795	GCA_037889315	0.88708	2.09495	0.15840
GCA_031191795	GCA_037889325	0.21483	0.37729	0.07859
GCA_031191795	GCA_037889375	0.22254	0.33922	0.01415
