acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_015074785	GCA_019249655	2.17331	2.66576	0.11803
GCA_015074785	GCA_019249755	2.16811	2.53726	0.15216
GCA_015074785	GCA_019249765	0.79140	0.87106	0.08430
GCA_015074785	GCA_019249795	0.79493	0.94745	0.14524
GCA_015074785	GCA_019249805	2.21055	2.68565	0.21342
GCA_015074785	GCA_019249825	0.68421	0.74759	0.10838
GCA_015074785	GCA_019249855	0.79052	0.85047	0.09372
GCA_015074785	GCA_020735445	0.87194	0.92361	0.19553
GCA_015074785	GCA_025151535	0.85133	0.91757	0.12552
GCA_015074785	GCA_032450655	0.83983	0.96560	0.17717
GCA_015074785	GCA_032451715	0.93687	1.10322	0.11878
GCA_015074785	GCA_032452275	0.93030	1.06366	0.11505
GCA_015074785	GCA_032452555	1.03363	1.25276	0.19312
GCA_015074785	GCA_051861795	0.77063	0.89144	0.13079
GCA_015074785	GCA_051861805	2.16295	2.73490	0.11803
GCA_015074785	GCA_051861815	0.78440	0.87454	0.14371
GCA_019249655	GCA_019249755	1.96532	2.39278	0.18272
GCA_019249655	GCA_019249765	2.15270	2.72108	0.08430
GCA_019249655	GCA_019249795	2.07477	2.61548	0.19553
GCA_019249655	GCA_019249805	1.69271	2.13801	0.16772
GCA_019249655	GCA_019249825	2.07012	2.50907	0.15603
GCA_019249655	GCA_019249855	2.19440	2.69069	0.13913
GCA_019249655	GCA_020735445	2.27238	2.89792	0.21670
GCA_019249655	GCA_025151535	2.25509	2.89384	0.14295
GCA_019249655	GCA_032450655	2.29596	2.78999	0.18670
GCA_019249655	GCA_032451715	2.22148	2.85529	0.11878
GCA_019249655	GCA_032452275	2.26082	2.81348	0.14755
GCA_019249655	GCA_032452555	2.14763	2.68187	0.26389
GCA_019249655	GCA_051861795	2.13756	2.72564	0.17875
GCA_019249655	GCA_051861805	0.75218	0.82264	0.05798
GCA_019249655	GCA_051861815	2.09839	2.58590	0.19392
GCA_019249755	GCA_019249765	1.99887	2.41293	0.13989
GCA_019249755	GCA_019249795	2.00316	2.45649	0.17875
GCA_019249755	GCA_019249805	1.96532	2.22851	0.15062
GCA_019249755	GCA_019249825	2.18908	2.51808	0.11431
GCA_019249755	GCA_019249855	2.01180	2.44596	0.09810
GCA_019249755	GCA_020735445	2.27822	2.48515	0.15526
GCA_019249755	GCA_025151535	2.20513	2.47764	0.15758
GCA_019249755	GCA_032450655	2.08414	2.46465	0.15526
GCA_019249755	GCA_032451715	2.00316	2.52143	0.18352
GCA_019249755	GCA_032452275	2.08414	2.58672	0.10765
GCA_019249755	GCA_032452555	2.08887	2.52748	0.26044
GCA_019249755	GCA_051861795	2.17331	2.62127	0.17007
GCA_019249755	GCA_051861805	2.09839	2.52224	0.11729
GCA_019249755	GCA_051861815	2.10320	2.53608	0.18670
GCA_019249765	GCA_019249795	0.78180	0.89982	0.12552
GCA_019249765	GCA_019249805	2.27822	2.60357	0.21670
GCA_019249765	GCA_019249825	0.71220	0.80156	0.08936
GCA_019249765	GCA_019249855	0.64077	0.71980	0.08647
GCA_019249765	GCA_020735445	0.80026	0.85770	0.16069
GCA_019249765	GCA_025151535	0.78877	0.85130	0.09009
GCA_019249765	GCA_032450655	0.88199	0.95429	0.12552
GCA_019249765	GCA_032451715	0.98354	1.14124	0.08358
GCA_019249765	GCA_032452275	1.01242	1.13393	0.07927
GCA_019249765	GCA_032452555	1.06207	1.32774	0.26044
GCA_019249765	GCA_051861795	0.87294	0.95547	0.10986
GCA_019249765	GCA_051861805	2.27238	2.89887	0.11580
GCA_019249765	GCA_051861815	0.85133	0.92245	0.13989
GCA_019249795	GCA_019249805	2.23254	2.61388	0.27343
GCA_019249795	GCA_019249825	0.80384	0.88871	0.09664
GCA_019249795	GCA_019249855	0.74888	0.83407	0.13155
GCA_019249795	GCA_020735445	0.81197	0.86892	0.16929
GCA_019249795	GCA_025151535	0.79493	0.85972	0.12027
GCA_019249795	GCA_032450655	0.90992	0.98377	0.15062
GCA_019249795	GCA_032451715	1.01365	1.18989	0.12928
GCA_019249795	GCA_032452275	0.98002	1.12898	0.10543
GCA_019249795	GCA_032452555	1.10000	1.33994	0.24002
GCA_019249795	GCA_051861795	0.83794	0.95614	0.12777
GCA_019249795	GCA_051861805	2.23254	2.85652	0.17796
GCA_019249795	GCA_051861815	0.81106	0.93712	0.11505
GCA_019249805	GCA_019249825	2.26082	2.58561	0.20200
GCA_019249805	GCA_019249855	2.17331	2.60108	0.16850
GCA_019249805	GCA_020735445	2.33876	2.76362	0.21178
GCA_019249805	GCA_025151535	2.37713	2.78905	0.20038
GCA_019249805	GCA_032450655	2.30195	2.68072	0.21014
GCA_019249805	GCA_032451715	2.27822	2.74149	0.23246
GCA_019249805	GCA_032452275	2.32017	2.68994	0.20443
GCA_019249805	GCA_032452555	2.29001	2.72029	0.30709
GCA_019249805	GCA_051861795	2.26082	2.70827	0.24933
GCA_019249805	GCA_051861805	1.92119	2.30447	0.14678
GCA_019249805	GCA_051861815	2.27238	2.62489	0.26735
GCA_019249825	GCA_019249855	0.70069	0.76125	0.05447
GCA_019249825	GCA_020735445	0.81288	0.87160	0.09518
GCA_019249825	GCA_025151535	0.78180	0.85756	0.09227
