acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_000231215	GCA_001469595	0.46331	0.58601	0.01408
GCA_000231215	GCA_001469615	0.55076	0.70841	0.01408
GCA_000231215	GCA_003030305	0.53063	0.68020	0.01408
GCA_000231215	GCA_003390995	0.46381	0.58582	0.01408
GCA_000231215	GCA_003798465	0.55252	0.69143	0.01408
GCA_000231215	GCA_003812785	0.52781	0.67964	0.01408
GCA_000231215	GCA_004136195	0.53063	0.68020	0.01408
GCA_000231215	GCA_006739385	0.53119	0.68209	0.01408
GCA_000231215	GCA_008728435	0.53063	0.68020	0.01408
GCA_000231215	GCA_009177305	0.50958	0.65631	0.02836
GCA_000231215	GCA_011399315	0.53063	0.68153	0.01408
GCA_000231215	GCA_011399455	0.53063	0.68133	0.01408
GCA_000231215	GCA_021010665	0.00605	0.00988	0.00000
GCA_000231215	GCA_021010715	0.46431	0.58507	0.01408
GCA_000231215	GCA_029338475	0.53176	0.68285	0.02836
GCA_000231215	GCA_029851525	0.53289	0.66605	0.01408
GCA_000231215	GCA_029851605	0.46281	0.58458	0.01408
GCA_000231215	GCA_029851625	0.55962	0.70937	0.01408
GCA_000231215	GCA_030166615	0.46381	0.58711	0.01408
GCA_000231215	GCA_030166635	0.46381	0.58722	0.01408
GCA_000231215	GCA_030295305	0.51834	0.65871	0.02836
GCA_000231215	GCA_052398825	0.51067	0.65539	0.02836
GCA_000231215	GCA_056816635	0.52056	0.66477	0.02836
GCA_000231215	GCA_057198095	0.52837	0.68209	0.01408
GCA_000231215	GCA_057198105	0.52950	0.68209	0.01408
GCA_000231215	GCA_057198235	0.52725	0.68077	0.01408
GCA_000231215	GCA_057198265	0.53006	0.68209	0.01408
GCA_000231215	GCA_057457935	0.52894	0.68001	0.01408
GCA_000231215	GCA_057457945	0.52837	0.68001	0.01408
GCA_000231215	GCA_057501535	0.53802	0.69410	0.01408
GCA_000231215	GCA_057584575	0.52837	0.68247	0.01408
GCA_000231215	GCA_057584585	0.52837	0.68266	0.01408
GCA_000231215	GCA_057584595	0.52950	0.68191	0.01408
GCA_000231215	GCA_057584865	0.55311	0.68914	0.01408
GCA_000231215	GCA_057584875	0.52725	0.68019	0.01408
GCA_000231215	GCA_057584885	0.52725	0.68095	0.01408
GCA_000231215	GCA_058137405	0.52894	0.68457	0.01408
GCA_000231215	GCA_058178805	0.53006	0.68190	0.01408
GCA_000231215	GCA_058179315	0.52950	0.68190	0.01408
GCA_000231215	GCA_058180565	0.53063	0.68191	0.01408
GCA_000231215	GCA_058182115	0.52894	0.68134	0.01408
GCA_000231215	GCA_058182275	0.55428	0.68781	0.01408
GCA_001469595	GCA_001469615	0.17233	0.20868	0.00000
GCA_001469595	GCA_003030305	0.15162	0.18341	0.00000
GCA_001469595	GCA_003390995	0.00369	0.00501	0.00000
GCA_001469595	GCA_003798465	0.16653	0.19697	0.00000
GCA_001469595	GCA_003812785	0.15011	0.18180	0.00000
GCA_001469595	GCA_004136195	0.15162	0.18341	0.00000
GCA_001469595	GCA_006739385	0.15162	0.18349	0.00000
GCA_001469595	GCA_008728435	0.15162	0.18341	0.00000
GCA_001469595	GCA_009177305	0.15390	0.17206	0.01408
