acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_000007585	GCA_000010505	0.31671	0.33693	0.07217
GCA_000007585	GCA_000270225	0.29822	0.32525	0.12853
GCA_000007585	GCA_001263815	0.02293	0.02166	0.00000
GCA_000007585	GCA_001274615	0.29292	0.30020	0.01402
GCA_000007585	GCA_001314265	0.31671	0.33136	0.07217
GCA_000007585	GCA_002753935	0.31046	0.34493	0.05731
GCA_000007585	GCA_002753955	0.28182	0.28860	0.04267
GCA_000007585	GCA_002753975	0.31449	0.32069	0.04267
GCA_000007585	GCA_002754015	0.28907	0.31919	0.02825
GCA_000007585	GCA_002754035	0.33059	0.35265	0.08725
GCA_000007585	GCA_002754055	0.30036	0.32176	0.04962
GCA_000007585	GCA_002754075	0.29893	0.32740	0.04267
GCA_000007585	GCA_002754095	0.27840	0.31276	0.05731
GCA_000007585	GCA_002754115	0.29433	0.32301	0.05731
GCA_000007585	GCA_002754135	0.28079	0.31189	0.03578
GCA_000007585	GCA_002754155	0.30900	0.32960	0.08725
GCA_000007585	GCA_002892555	0.29822	0.32500	0.12853
GCA_000007585	GCA_002892575	0.31708	0.33182	0.07217
GCA_000007585	GCA_002892595	0.00000	0.00000	0.00000
GCA_000007585	GCA_018141745	0.29503	0.30427	0.02825
GCA_000007585	GCA_018141765	0.29574	0.30402	0.01402
GCA_000007585	GCA_018141805	0.31968	0.34839	0.05731
GCA_000007585	GCA_023822425	0.00117	0.00025	0.00000
GCA_000007585	GCA_023822445	0.00251	0.00178	0.00000
GCA_000007585	GCA_023822465	0.00217	0.00178	0.00000
GCA_000007585	GCA_028335085	0.33327	0.37033	0.06507
GCA_000007585	GCA_028335105	0.02293	0.02696	0.00000
GCA_000007585	GCA_028335125	0.26864	0.31264	0.05731
GCA_000007585	GCA_030144345	0.32191	0.34781	0.05798
GCA_000007585	GCA_030252365	0.32191	0.34756	0.05798
GCA_000007585	GCA_030440475	0.33289	0.34777	0.08725
GCA_000007585	GCA_030440495	0.33289	0.34777	0.08725
GCA_000007585	GCA_055523395	0.30900	0.32917	0.04267
GCA_000007585	GCA_055523415	0.26105	0.30109	0.04267
GCA_000007585	GCA_055523455	0.28595	0.30165	0.05731
GCA_000007585	GCA_055523465	0.30937	0.31276	0.05731
GCA_000010505	GCA_000270225	0.29964	0.33486	0.17717
GCA_000010505	GCA_001263815	0.31413	0.33759	0.07217
GCA_000010505	GCA_001274615	0.30214	0.32534	0.05731
GCA_000010505	GCA_001314265	0.00150	0.00699	0.00000
GCA_000010505	GCA_002753935	0.29539	0.32981	0.08725
GCA_000010505	GCA_002753955	0.32567	0.34181	0.07217
GCA_000010505	GCA_002753975	0.33789	0.36122	0.08725
GCA_000010505	GCA_002754015	0.32079	0.35229	0.07217
GCA_000010505	GCA_002754035	0.31708	0.34764	0.04267
GCA_000010505	GCA_002754055	0.31560	0.35378	0.07932
GCA_000010505	GCA_002754075	0.32831	0.35825	0.07217
GCA_000010505	GCA_002754095	0.29751	0.32567	0.07217
GCA_000010505	GCA_002754115	0.32042	0.35728	0.07217
GCA_000010505	GCA_002754135	0.32567	0.32968	0.08004
GCA_000010505	GCA_002754155	0.30107	0.32729	0.04267
GCA_000010505	GCA_002892555	0.29964	0.33461	0.17717
GCA_000010505	GCA_002892575	0.00017	0.00725	0.00000
GCA_000010505	GCA_002892595	0.31671	0.33693	0.07217
GCA_000010505	GCA_018141745	0.33021	0.35941	0.07217
GCA_000010505	GCA_018141765	0.33059	0.35916	0.05731
GCA_000010505	GCA_018141805	0.32983	0.37734	0.07217
GCA_000010505	GCA_023822425	0.31523	0.33647	0.07217
GCA_000010505	GCA_023822445	0.31708	0.33862	0.07217
GCA_000010505	GCA_023822465	0.31708	0.33862	0.07217
GCA_000010505	GCA_028335085	0.34099	0.37885	0.09524
GCA_000010505	GCA_028335105	0.31339	0.34035	0.07217
