acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_000020225	GCA_004015245	0.28285	0.35782	0.00000
GCA_000020225	GCA_004015265	0.47488	0.63071	0.01420
GCA_000020225	GCA_004104435	0.50525	0.61575	0.00000
GCA_000020225	GCA_004319565	0.24059	0.30050	0.00000
GCA_000020225	GCA_008000975	0.00050	0.00000	0.00000
GCA_000020225	GCA_009731575	0.26665	0.36053	0.00000
GCA_000020225	GCA_010223095	0.28977	0.38501	0.00000
GCA_000020225	GCA_010223115	0.29047	0.38501	0.00000
GCA_000020225	GCA_010223135	0.49248	0.64152	0.01420
GCA_000020225	GCA_010223405	0.49248	0.64152	0.01420
GCA_000020225	GCA_010223575	0.49248	0.63938	0.01420
GCA_000020225	GCA_010229315	0.45394	0.60441	0.01420
GCA_000020225	GCA_010230155	0.26138	0.39693	0.00000
GCA_000020225	GCA_010230515	0.28285	0.37841	0.00000
GCA_000020225	GCA_010230725	0.28285	0.38005	0.00000
GCA_000020225	GCA_010230935	0.28285	0.37841	0.00000
GCA_000020225	GCA_010231195	0.28285	0.37841	0.00000
GCA_000020225	GCA_010509235	0.26665	0.36053	0.00000
GCA_000020225	GCA_014170075	0.50633	0.61546	0.01420
GCA_000020225	GCA_017504145	0.00000	0.00000	0.00000
GCA_000020225	GCA_017570425	0.46182	0.62096	0.01420
GCA_000020225	GCA_017570485	0.46182	0.62096	0.01420
GCA_000020225	GCA_017570505	0.46182	0.62096	0.01420
GCA_000020225	GCA_017570525	0.46182	0.62096	0.01420
GCA_000020225	GCA_018847115	0.50310	0.62633	0.03207
GCA_000020225	GCA_018847155	0.50257	0.62633	0.03207
GCA_000020225	GCA_018847175	0.50364	0.62633	0.03207
GCA_000020225	GCA_018847215	0.49670	0.62765	0.01762
GCA_000020225	GCA_018847255	0.50472	0.69963	0.02861
GCA_000020225	GCA_018847275	0.50364	0.69802	0.02861
GCA_000020225	GCA_018847295	0.50310	0.70073	0.02861
GCA_000020225	GCA_018847315	0.50472	0.69856	0.02861
GCA_000020225	GCA_018847335	0.50364	0.70073	0.02861
GCA_000020225	GCA_018847355	0.48516	0.62192	0.01420
GCA_000020225	GCA_018847395	0.48516	0.62192	0.01420
GCA_000020225	GCA_018847435	0.48154	0.63259	0.01420
GCA_000020225	GCA_018847455	0.48257	0.63259	0.01420
GCA_000020225	GCA_018847475	0.48413	0.63530	0.01420
GCA_000020225	GCA_018847495	0.48464	0.63586	0.01420
GCA_000020225	GCA_018847515	0.48464	0.63801	0.01420
GCA_000020225	GCA_018847535	0.48464	0.62248	0.01420
GCA_000020225	GCA_018847595	0.51559	0.63982	0.01762
GCA_000020225	GCA_028743255	0.47032	0.63447	0.01420
GCA_000020225	GCA_033947425	0.49406	0.61888	0.01420
GCA_000020225	GCA_033947545	0.28113	0.35724	0.01420
GCA_000020225	GCA_036796995	0.26105	0.36376	0.00000
GCA_000020225	GCA_040616545	2.73121	3.39103	0.17416
GCA_004015245	GCA_004015265	0.49776	0.60133	0.01420
GCA_004015245	GCA_004104435	0.52950	0.61323	0.00000
GCA_004015245	GCA_004319565	0.29433	0.34774	0.00000
GCA_004015245	GCA_008000975	0.28319	0.35782	0.00000
GCA_004015245	GCA_009731575	0.29715	0.34138	0.00000
GCA_004015245	GCA_010223095	0.29503	0.38137	0.00000
GCA_004015245	GCA_010223115	0.29539	0.38137	0.00000
GCA_004015245	GCA_010223135	0.50364	0.64085	0.01420
GCA_004015245	GCA_010223405	0.50364	0.64085	0.01420
GCA_004015245	GCA_010223575	0.50364	0.63873	0.01420
GCA_004015245	GCA_010229315	0.46731	0.59157	0.01420
GCA_004015245	GCA_010230155	0.27434	0.36163	0.00000
GCA_004015245	GCA_010230515	0.27603	0.33681	0.00000
GCA_004015245	GCA_010230725	0.27603	0.33681	0.00000
GCA_004015245	GCA_010230935	0.27603	0.33681	0.00000
GCA_004015245	GCA_010231195	0.27603	0.33681	0.00000
GCA_004015245	GCA_010509235	0.29715	0.34138	0.00000
GCA_004015245	GCA_014170075	0.54320	0.61298	0.01420
GCA_004015245	GCA_017504145	0.28285	0.35782	0.00000
GCA_004015245	GCA_017570425	0.47083	0.57020	0.01420
GCA_004015245	GCA_017570485	0.47083	0.57020	0.01420
GCA_004015245	GCA_017570505	0.47083	0.57020	0.01420
GCA_004015245	GCA_017570525	0.47083	0.57020	0.01420
GCA_004015245	GCA_018847115	0.54551	0.67129	0.03207
GCA_004015245	GCA_018847155	0.54551	0.67129	0.03207
GCA_004015245	GCA_018847175	0.54551	0.67129	0.03207
GCA_004015245	GCA_018847215	0.52501	0.60486	0.01762
GCA_004015245	GCA_018847255	0.51834	0.67513	0.02861
GCA_004015245	GCA_018847275	0.51890	0.67352	0.02861
GCA_004015245	GCA_018847295	0.51614	0.67406	0.02861
GCA_004015245	GCA_018847315	0.51834	0.67406	0.02861
GCA_004015245	GCA_018847335	0.51890	0.67616	0.02861
GCA_004015245	GCA_018847355	0.50741	0.60503	0.01420
GCA_004015245	GCA_018847395	0.50741	0.60503	0.01420
GCA_004015245	GCA_018847435	0.50150	0.64479	0.01420
GCA_004015245	GCA_018847455	0.50364	0.64479	0.01420
GCA_004015245	GCA_018847475	0.49564	0.63680	0.01420
GCA_004015245	GCA_018847495	0.49617	0.63524	0.01420
GCA_004015245	GCA_018847515	0.49617	0.63736	0.01420
GCA_004015245	GCA_018847535	0.50687	0.60558	0.01420
GCA_004015245	GCA_018847595	0.54842	0.64984	0.01762
GCA_004015245	GCA_028743255	0.48464	0.60651	0.01420
GCA_004015245	GCA_033947425	0.51340	0.60801	0.01420
GCA_004015245	GCA_033947545	0.23163	0.28862	0.01420
GCA_004015245	GCA_036796995	0.23748	0.33164	0.00000
GCA_004015245	GCA_040616545	2.80078	3.39941	0.17416
GCA_004015265	GCA_004104435	0.38415	0.46327	0.01420
GCA_004015265	GCA_004319565	0.50741	0.62585	0.01420
GCA_004015265	GCA_008000975	0.47438	0.63071	0.01420
GCA_004015265	GCA_009731575	0.49723	0.58855	0.01420
GCA_004015265	GCA_010223095	0.47846	0.63173	0.01420
GCA_004015265	GCA_010223115	0.47795	0.63173	0.01420
GCA_004015265	GCA_010223135	0.25359	0.32875	0.00000
GCA_004015265	GCA_010223405	0.25359	0.32875	0.00000
GCA_004015265	GCA_010223575	0.25391	0.32875	0.00000
GCA_004015265	GCA_010229315	0.16810	0.22566	0.00000
GCA_004015265	GCA_010230155	0.46431	0.60521	0.01420
GCA_004015265	GCA_010230515	0.46231	0.58627	0.01420
GCA_004015265	GCA_010230725	0.46231	0.58627	0.01420
GCA_004015265	GCA_010230935	0.46231	0.58627	0.01420
GCA_004015265	GCA_010231195	0.46231	0.58627	0.01420
GCA_004015265	GCA_010509235	0.49723	0.58855	0.01420
GCA_004015265	GCA_014170075	0.35402	0.42565	0.02861
GCA_004015265	GCA_017504145	0.47488	0.63071	0.01420
GCA_004015265	GCA_017570425	0.16863	0.22558	0.00000
GCA_004015265	GCA_017570485	0.16863	0.22558	0.00000
GCA_004015265	GCA_017570505	0.16863	0.22558	0.00000
GCA_004015265	GCA_017570525	0.16863	0.22558	0.00000
GCA_004015265	GCA_018847115	0.37320	0.48606	0.01762
GCA_004015265	GCA_018847155	0.37237	0.48606	0.01762
GCA_004015265	GCA_018847175	0.37279	0.48606	0.01762
GCA_004015265	GCA_018847215	0.36536	0.46596	0.03207
GCA_004015265	GCA_018847255	0.38671	0.51414	0.01420
GCA_004015265	GCA_018847275	0.38500	0.51257	0.01420
GCA_004015265	GCA_018847295	0.38415	0.51135	0.01420
GCA_004015265	GCA_018847315	0.38586	0.51310	0.01420
GCA_004015265	GCA_018847335	0.38586	0.51310	0.01420
GCA_004015265	GCA_018847355	0.37030	0.46578	0.00000
GCA_004015265	GCA_018847395	0.36988	0.46406	0.00000
GCA_004015265	GCA_018847435	0.25230	0.32826	0.00000
GCA_004015265	GCA_018847455	0.25359	0.32826	0.00000
GCA_004015265	GCA_018847475	0.24879	0.32424	0.00000
GCA_004015265	GCA_018847495	0.24847	0.32327	0.00000
GCA_004015265	GCA_018847515	0.24879	0.32327	0.00000
GCA_004015265	GCA_018847535	0.37030	0.46460	0.00000
GCA_004015265	GCA_018847595	0.38033	0.47395	0.03207
GCA_004015265	GCA_028743255	0.19025	0.23901	0.00000
GCA_004015265	GCA_033947425	0.24625	0.31120	0.00000
GCA_004015265	GCA_033947545	0.49143	0.58383	0.02861
GCA_004015265	GCA_036796995	0.49459	0.58581	0.01420
GCA_004015265	GCA_040616545	2.73121	3.35574	0.19109
GCA_004104435	GCA_004319565	0.52445	0.62142	0.00000
GCA_004104435	GCA_008000975	0.50525	0.61575	0.00000
GCA_004104435	GCA_009731575	0.52000	0.62820	0.00000
GCA_004104435	GCA_010223095	0.53974	0.66052	0.00000
GCA_004104435	GCA_010223115	0.53974	0.66052	0.00000
GCA_004104435	GCA_010223135	0.37279	0.46595	0.01420
GCA_004104435	GCA_010223405	0.37279	0.46595	0.01420
GCA_004104435	GCA_010223575	0.37279	0.46595	0.01420
GCA_004104435	GCA_010229315	0.35925	0.43216	0.01420
GCA_004104435	GCA_010230155	0.50579	0.63377	0.00000
GCA_004104435	GCA_010230515	0.54089	0.64633	0.00000
GCA_004104435	GCA_010230725	0.54089	0.64633	0.00000
GCA_004104435	GCA_010230935	0.54089	0.64633	0.00000
GCA_004104435	GCA_010231195	0.54089	0.64633	0.00000
GCA_004104435	GCA_010509235	0.52000	0.62820	0.00000
GCA_004104435	GCA_014170075	0.33634	0.41309	0.01420
GCA_004104435	GCA_017504145	0.50525	0.61575	0.00000
GCA_004104435	GCA_017570425	0.38543	0.46426	0.01420
GCA_004104435	GCA_017570485	0.38543	0.46426	0.01420
GCA_004104435	GCA_017570505	0.38543	0.46426	0.01420
GCA_004104435	GCA_017570525	0.38543	0.46426	0.01420
GCA_004104435	GCA_018847115	0.36988	0.47089	0.03207
GCA_004104435	GCA_018847155	0.36988	0.47089	0.03207
GCA_004104435	GCA_018847175	0.36947	0.47089	0.03207
GCA_004104435	GCA_018847215	0.31856	0.38952	0.01762
GCA_004104435	GCA_018847255	0.33866	0.43260	0.02861
GCA_004104435	GCA_018847275	0.33866	0.43103	0.02861
GCA_004104435	GCA_018847295	0.33596	0.43155	0.02861
GCA_004104435	GCA_018847315	0.33866	0.43155	0.02861
GCA_004104435	GCA_018847335	0.33866	0.43317	0.02861
GCA_004104435	GCA_018847355	0.35966	0.42915	0.01420
GCA_004104435	GCA_018847395	0.35925	0.42581	0.01420
