acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_000195955	GCA_000277735	0.00050	0.00019	0.00000
GCA_000195955	GCA_001708265	0.01067	0.01868	0.00000
GCA_000195955	GCA_002072775	0.00947	0.01243	0.00000
GCA_000195955	GCA_002116775	0.01032	0.02222	0.01401
GCA_000195955	GCA_002116835	0.01032	0.02130	0.01401
GCA_000195955	GCA_009730215	0.01727	0.02026	0.00000
GCA_000195955	GCA_014899965	0.01727	0.02095	0.00000
GCA_000195955	GCA_014899985	0.01815	0.02035	0.00000
GCA_000195955	GCA_014900005	0.01991	0.02248	0.00000
GCA_000195955	GCA_014900135	0.00947	0.01199	0.00000
GCA_000195955	GCA_014900215	0.00929	0.01180	0.00000
GCA_000195955	GCA_014900235	0.00947	0.01209	0.00000
GCA_000195955	GCA_014900295	0.00947	0.01190	0.00000
GCA_000195955	GCA_017901035	0.00117	0.00039	0.00000
GCA_000195955	GCA_017901095	0.00352	0.00204	0.00000
GCA_000195955	GCA_021559895	0.01850	0.02347	0.00000
GCA_000195955	GCA_033124885	0.01832	0.02116	0.00000
GCA_000195955	GCA_033125685	0.01797	0.02057	0.00000
GCA_000195955	GCA_037942495	0.00947	0.01243	0.00000
GCA_000195955	GCA_040208985	0.01727	0.02016	0.00000
GCA_000195955	GCA_040208995	0.01745	0.02016	0.00000
GCA_000195955	GCA_040209205	0.01745	0.02016	0.00000
GCA_000195955	GCA_040209215	0.01885	0.02217	0.00000
GCA_000195955	GCA_040209325	0.01903	0.02066	0.00000
GCA_000195955	GCA_040209395	0.01850	0.02218	0.00000
GCA_000195955	GCA_963525475	0.00605	0.00446	0.00000
GCA_000195955	GCA_965122945	0.02151	0.02154	0.00000
GCA_000195955	GCA_965124815	0.02168	0.02154	0.00000
GCA_000277735	GCA_001708265	0.01032	0.01848	0.00000
GCA_000277735	GCA_002072775	0.00895	0.01223	0.00000
GCA_000277735	GCA_002116775	0.00981	0.02202	0.01401
GCA_000277735	GCA_002116835	0.00981	0.02110	0.01401
